"","Entity.A.Type","Entity.A","Entity.B.Type","Entity.B","Connection"
"1","Organization","4 SHADOW TREE LANE MEMBER CORP.","Organization","4 SHADOW TREE LANE LLC","Ownership"
"2","Organization","40 WALL DEVELOPMENT ASSOCIATES LLC","Organization","40 WALL STREET LLC","Ownership"
"3","Organization","40 WALL STREET LLC","Organization","40 WALL STREET COMMERCIAL LLC","Ownership"
"4","Organization","40 WALL STREET MEMBER CORP.","Organization","40 WALL STREET LLC","Ownership"
"5","Organization","401 MEZZ VENTURE LLC","Organization","401 NORTH WABASH VENTURE LLC","Ownership"
"6","Organization","401 MEZZ VENTURE LLC","Organization","TRUMP CHICAGO RETAIL LLC","Ownership"
"7","Organization","401 NORTH WABASH VENTURE LLC","Organization","TRUMP COMMERCIAL CHICAGO LLC","Ownership"
"8","Organization","401 NORTH WABASH VENTURE LLC","Organization","TRUMP PAYROLL CHICAGO LLC","Ownership"
"10","Organization","809 NORTH CANON MEMBER CORPORATION","Organization","809 NORTH CANON LLC","Ownership"
"131","Organization","BAIN & COMPANY","Organization","THAYER AEROSPACE CONSOLIDATED, INC.","Investor"
"143","Organization","BEDFORD HILLS CORP.","Organization","SEVEN SPRINGS LLC","Ownership"
"238","Organization","BRIARCLIFF PROPERTIES, INC.","Organization","TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC","Ownership"
"243","Organization","C DEVELOPMENT VENTURES MEMBER CORP.","Organization","C DEVELOPMENT VENTURES LLC","Ownership"
"247","Organization","CARDINAL INVESTMENT COMPANY","Organization","THAYER AEROSPACE CONSOLIDATED, INC.","Investor"
"248","Organization","CARIBUSINESS MRE LLC","Organization","CARIBUSINESS INVESTMENTS, S.R.L.","Ownership"
"253","Organization","CARLYLE GROUP","Organization","KUSHNER COMPANIES","Investor"
"303","Organization","CIT GROUP, INC.","Organization","ONEWEST BANK, FSB","Ownership"
"320","Organization","CPW PT PARTNERS, G.P.","Organization","ONE CENTRAL PARK WEST PT ASSOCIATES","Ownership"
"325","Organization","D B PACE ACQUISITION MEMBER CORP.","Organization","D B PACE ACQUISITION, LLC","Ownership"
"327","Organization","DAEWOO AMERICA DEVELOPMENT (NEW YORK) CORP","Organization","TRUMP KOREA LLC","Ownership"
"328","Organization","DAEWOO AMERICA DEVELOPMENT (NEW YORK) CORP.","Organization","TRUMP KOREA LLC","Ownership"
"420","Organization","DEVELOPMENT MEMBER INC.","Organization","BRIAR HALL OPERATIONS LLC","Ownership"
"426","Organization","DJT ENTREPRENEUR MANAGING MEMBER LLC","Organization","THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC)","Ownership"
"428","Organization","DJT ENTREPRENEUR MEMBER LLC","Organization","THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC)","Ownership"
"429","Organization","DJT HOLDINGS LLC","Organization","4 SHADOW TREE LANE LLC","Ownership"
"430","Organization","DJT HOLDINGS LLC","Organization","809 NORTH CANON LLC","Ownership"
"431","Organization","DJT HOLDINGS LLC","Organization","DT CONNECT II LLC","Ownership"
"432","Organization","DJT HOLDINGS LLC","Organization","LFB ACQUISITION LLC","Ownership"
"433","Organization","DJT HOLDINGS LLC","Organization","OPO HOTEL MANAGER LLC","Ownership"
"434","Organization","DJT HOLDINGS LLC","Organization","PINE HILL DEVELOPMENT LLC","Ownership"
"435","Organization","DJT HOLDINGS LLC","Organization","SEVEN SPRINGS LLC","Ownership"
"436","Organization","DJT HOLDINGS LLC","Organization","THC VENTURE I LLC","Ownership"
"437","Organization","DJT HOLDINGS LLC","Organization","TIHT CHICAGO MEMBER ACQUISITION LLC","Ownership"
